Ref_Motion_Blur_Magnitude,Ref_Motion_Blur_Direction,Current_Motion_Blur_Magnitude,Current_Motion_Blur_Direction,SSIM_u,SSIM_v,SSIM_exx,SSIM_exy,SSIM_eyy,PSNR_u,PSNR_v,PSNR_exx,PSNR_exy,PSNR_eyy
20,75,20,75,0.9902312202102668,0.988461440395642,0.9991865275813142,0.9989197826867118,0.9969153189728891,42.852822282344206,28.967086919880053,43.45162977002002,43.29345198497222,42.318831766618025
20,85,20,85,0.9935111475989392,0.9883529441417745,0.9993960383558835,0.9989070706465825,0.9968487960535428,44.16766722199732,28.85594196174312,43.57008781719418,43.33620451806381,42.157451734283214
20,90,20,90,0.9939744625491818,0.9887475640674842,0.9993150884135579,0.9988313810033735,0.9969735322719986,43.601696169109275,27.370807503507805,41.91405127724849,41.74997751495434,40.6773384906178
25,0,25,0,0.9487675328570109,0.9981021803309801,0.9957215454807208,0.9987082572939727,0.9992820284826833,36.08557471092138,29.477928356834543,42.22904066637459,43.22882130848,42.88188197122974
25,5,25,5,0.9536071779358236,0.9976761640962969,0.9964218493526773,0.9988312040743551,0.9992191085015085,36.64324933756153,29.482755276042397,42.497139429392625,43.290671532457935,42.87636707045089
25,15,25,15,0.9432907383189808,0.9959154095672622,0.9942254248646081,0.9978012120185127,0.9982289996768525,35.634616455044835,22.782160564326762,36.86452495030518,37.59841741743688,36.90061024859946
25,30,25,30,0.9539747850967499,0.9938493826906438,0.9964723185174001,0.9985588601875156,0.9984436076166912,37.07447896782647,29.226967136728135,42.37327011263082,43.255204227079005,42.6533960837113
25,45,25,45,0.9604939754101958,0.9888352732959288,0.9969338221826335,0.998229043163725,0.9971769966812272,38.36270957786444,29.073163518008613,42.85990027000167,43.33444068628942,42.38029563814996
25,60,25,60,0.9770543757791674,0.9863811404517407,0.9985264262928452,0.9986198682231631,0.9965512905476271,41.127767066958754,31.30763984248548,45.7848777195348,46.05210986244011,44.523648535058726
25,75,25,75,0.9885586533233022,0.9836212325313899,0.9989478515923518,0.9982978246787697,0.995370549058635,41.87526473492554,27.206668072837775,41.76905317961425,41.62282767008142,40.4152261328352
25,85,25,85,0.9929157133093613,0.9855544373217625,0.9993151674916786,0.9986326802778477,0.995929724532369,43.794142231172,28.697879759678308,43.560341451619934,43.24016745765935,41.785981847156634
25,90,25,90,0.9937600395989681,0.9836884867117558,0.9992615304699151,0.9984145597427075,0.9954564702247735,42.960362224920345,27.200246952052467,41.909103761927625,41.668691976771335,40.31960723400394
30,0,30,0,0.9314360975374,0.9977319427293789,0.9940387248792892,0.9982966754497524,0.9991221906883115,34.34495048868171,29.229437078186606,41.525742394872935,43.076701516890054,42.782666283375754
